area_fips,locality_name,industry_code,industry_title,annual_avg_emplvl,locality_published_employment,local_industry_share,state_industry_share,location_quotient,is_specialized,ranking_eligible_specialization
51081,Greensville County,31-33,Manufacturing,560.0,1213.0,0.46166529266281947,0.0672927065446581,6.860554677741192,True,True
51083,Halifax County,31-33,Manufacturing,1961.0,7336.0,0.26731188658669575,0.0672927065446581,3.972375318405376,True,True
51085,Hanover County,71,"Arts, Entertainment, and Recreation",2254.0,42191.0,0.05342371595837975,0.022075563852834112,2.4200385690950807,True,True
51087,Henrico County,42,Wholesale Trade,7041.0,162080.0,0.04344151036525173,0.02169027363433848,2.0028106190637565,True,True
51089,Henry County,31-33,Manufacturing,4229.0,12105.0,0.3493597686906237,0.0672927065446581,5.191643888758951,True,True
51091,Highland County,51,Information,108.0,196.0,0.5510204081632653,0.014621627646955715,37.68529889201426,True,True
51093,Isle of Wight County,31-33,Manufacturing,1730.0,6696.0,0.258363201911589,0.0672927065446581,3.8393938240562364,True,True
51095,James City County,71,"Arts, Entertainment, and Recreation",3006.0,24988.0,0.12029774291659996,0.022075563852834112,5.449362187011856,True,True
51097,King and Queen County,23,Construction,142.0,520.0,0.27307692307692305,0.06470425061563047,4.2203861489581405,True,True
51099,King George County,54,"Professional, Scientific, and Technical Services",3014.0,5586.0,0.539563193698532,0.1370489560234782,3.9370106081369793,True,True
51101,King William County,31-33,Manufacturing,775.0,2632.0,0.2944528875379939,0.0672927065446581,4.375702845932989,True,True
51103,Lancaster County,71,"Arts, Entertainment, and Recreation",123.0,2849.0,0.04317304317304317,0.022075563852834112,1.9556937915993713,True,True
51105,Lee County,44-45,Retail Trade,663.0,1694.0,0.39138134592680046,0.1306402726983419,2.995870552341306,True,True
51107,Loudoun County,51,Information,7338.0,168036.0,0.04366921373991287,0.014621627646955715,2.986617823563917,True,True
51109,Louisa County,22,Utilities,1016.0,4344.0,0.23388581952117865,0.002142581206210252,109.16077245672777,True,True
51111,Lunenburg County,31-33,Manufacturing,290.0,811.0,0.35758323057953145,0.0672927065446581,5.3138482450876765,True,True
51113,Madison County,31-33,Manufacturing,312.0,1785.0,0.17478991596638654,0.0672927065446581,2.5974570639447983,True,True
51115,Mathews County,23,Construction,123.0,703.0,0.17496443812233287,0.06470425061563047,2.704064052324672,True,True
51117,Mecklenburg County,22,Utilities,118.0,7158.0,0.01648505169041632,0.002142581206210252,7.694014883839429,True,True
51119,Middlesex County,71,"Arts, Entertainment, and Recreation",139.0,1647.0,0.08439587128111718,0.022075563852834112,3.823044876395411,True,True
51121,Montgomery County,31-33,Manufacturing,5243.0,29062.0,0.1804074048585782,0.0672927065446581,2.6809354850195053,True,True
51125,Nelson County,31-33,Manufacturing,527.0,2721.0,0.19367879456082324,0.0672927065446581,2.8781543276505057,True,True
51127,New Kent County,23,Construction,779.0,2568.0,0.30334890965732086,0.06470425061563047,4.688237739732689,True,True
51131,Northampton County,11,"Agriculture, Forestry, Fishing and Hunting",733.0,2625.0,0.27923809523809523,0.0013468139528155627,207.33234509067717,True,True
51133,Northumberland County,11,"Agriculture, Forestry, Fishing and Hunting",153.0,1601.0,0.09556527170518427,0.0013468139528155627,70.95655009023456,True,True
51135,Nottoway County,42,Wholesale Trade,141.0,1571.0,0.08975175047740293,0.02169027363433848,4.137880046626725,True,True
51137,Orange County,42,Wholesale Trade,537.0,6109.0,0.08790309379603863,0.02169027363433848,4.05265029284263,True,True
51139,Page County,31-33,Manufacturing,621.0,1774.0,0.3500563697857948,0.0672927065446581,5.20199569552881,True,True
51141,Patrick County,11,"Agriculture, Forestry, Fishing and Hunting",105.0,2584.0,0.04063467492260062,0.0013468139528155627,30.170963730849667,True,True
51143,Pittsylvania County,42,Wholesale Trade,881.0,9506.0,0.09267830843677677,0.02169027363433848,4.272804944703655,True,True
51145,Powhatan County,23,Construction,1918.0,6342.0,0.30242825607064017,0.06470425061563047,4.674009098214998,True,True
51147,Prince Edward County,72,Accommodation and Food Services,1123.0,4315.0,0.26025492468134415,0.11121647217792784,2.340075346617537,True,True
51149,Prince George County,48-49,Transportation and Warehousing,2746.0,8524.0,0.3221492257156265,0.05047574152199847,6.382258407738826,True,True
51153,Prince William County,21,"Mining, Quarrying, and Oil and Gas Extraction",112.0,114002.0,0.0009824389045806213,0.0003393412966785737,2.895135116758848,True,True
51155,Pulaski County,31-33,Manufacturing,3935.0,10676.0,0.36858373922817533,0.0672927065446581,5.477320770023844,True,True
51157,Rappahannock County,23,Construction,114.0,735.0,0.15510204081632653,0.06470425061563047,2.39709198917542,True,True
51159,Richmond County,23,Construction,233.0,1010.0,0.2306930693069307,0.06470425061563047,3.5653464356977294,True,True
51161,Roanoke County,31-33,Manufacturing,4389.0,28985.0,0.15142314990512334,0.0672927065446581,2.2502163708429967,True,True
51163,Rockbridge County,31-33,Manufacturing,800.0,4526.0,0.17675651789659744,0.0672927065446581,2.6266816564926665,True,True
51165,Rockingham County,31-33,Manufacturing,6372.0,27716.0,0.22990330495020928,0.0672927065446581,3.41646690637471,True,True
51167,Russell County,21,"Mining, Quarrying, and Oil and Gas Extraction",181.0,2716.0,0.0666421207658321,0.0003393412966785737,196.38670983495405,True,True
51169,Scott County,31-33,Manufacturing,1118.0,2003.0,0.5581627558662007,0.0672927065446581,8.294550546808246,True,True
51171,Shenandoah County,22,Utilities,120.0,10330.0,0.011616650532429816,0.002142581206210252,5.421801749571526,True,True
51173,Smyth County,31-33,Manufacturing,2977.0,7060.0,0.421671388101983,0.0672927065446581,6.266227199854789,True,True
51175,Southampton County,42,Wholesale Trade,335.0,1317.0,0.25436598329536825,0.02169027363433848,11.727191071147868,True,True
51177,Spotsylvania County,99,Unclassified,159.0,30155.0,0.005272757419996684,0.002188870490411141,2.4088941959312944,True,True
51179,Stafford County,48-49,Transportation and Warehousing,6230.0,36261.0,0.17180993353740934,0.05047574152199847,3.403811976938084,True,True
51183,Sussex County,11,"Agriculture, Forestry, Fishing and Hunting",155.0,1174.0,0.13202725724020442,0.0013468139528155627,98.02932094978429,True,True
51185,Tazewell County,42,Wholesale Trade,458.0,6869.0,0.06667637210656573,0.02169027363433848,3.0740217127094467,True,True
51187,Warren County,61,Educational Services,718.0,9819.0,0.07312353600162949,0.020240329879222408,3.612764042778474,True,True
51191,Washington County,11,"Agriculture, Forestry, Fishing and Hunting",267.0,17927.0,0.014893735705918447,0.0013468139528155627,11.058495254509772,True,True
51193,Westmoreland County,11,"Agriculture, Forestry, Fishing and Hunting",186.0,2127.0,0.08744710860366714,0.0013468139528155627,64.9288704062323,True,True
51195,Wise County,22,Utilities,205.0,6501.0,0.03153361021381326,0.002142581206210252,14.717579955622396,True,True
51197,Wythe County,21,"Mining, Quarrying, and Oil and Gas Extraction",136.0,7717.0,0.01762342879357263,0.0003393412966785737,51.93422953842738,True,True
51199,York County,71,"Arts, Entertainment, and Recreation",687.0,18100.0,0.037955801104972375,0.022075563852834112,1.7193581716871762,True,True
51510,Alexandria city,81,Other Services,8298.0,59389.0,0.13972284429776557,0.04436895963131947,3.1491124754509014,True,True
51520,Bristol city,31-33,Manufacturing,1531.0,5974.0,0.2562772012052226,0.0672927065446581,3.8083949117895406,True,True
51530,Buena Vista city,44-45,Retail Trade,136.0,173.0,0.7861271676300579,0.1306402726983419,6.017494845906238,True,True
51540,Charlottesville city,99,Unclassified,122.0,26781.0,0.00455546842911019,0.002188870490411141,2.081195963427935,True,True
51550,Chesapeake city,42,Wholesale Trade,3699.0,91242.0,0.04054054054054054,0.02169027363433848,1.869065426466528,True,True
51570,Colonial Heights city,44-45,Retail Trade,2645.0,6164.0,0.4291044776119403,0.1306402726983419,3.284626315828155,True,True
51580,Covington city,44-45,Retail Trade,544.0,866.0,0.628175519630485,0.1306402726983419,4.808436990031312,True,True
51590,Danville city,31-33,Manufacturing,3341.0,20549.0,0.16258698720132367,0.0672927065446581,2.416116033220101,True,True
51595,Emporia city,62,Health Care and Social Assistance,860.0,1760.0,0.48863636363636365,0.15625628606777636,3.127146919544837,True,True
51600,Fairfax city,72,Accommodation and Food Services,3357.0,19876.0,0.16889716240692293,0.11121647217792784,1.5186344171816166,True,True
51610,Falls Church city,61,Educational Services,622.0,9408.0,0.06611394557823129,0.020240329879222408,3.266446049681244,True,True
51620,Franklin city,44-45,Retail Trade,838.0,1158.0,0.7236614853195165,0.1306402726983419,5.5393445709540465,True,True
51630,Fredericksburg city,62,Health Care and Social Assistance,7066.0,19534.0,0.3617282686597727,0.15625628606777636,2.3149677863383533,True,True
51640,Galax city,31-33,Manufacturing,1007.0,3049.0,0.3302722204001312,0.0672927065446581,4.907994303676127,True,True
51650,Hampton city,61,Educational Services,1358.0,30132.0,0.045068365856896324,0.020240329879222408,2.226661626852287,True,True
51660,Harrisonburg city,31-33,Manufacturing,3884.0,21903.0,0.17732730676163083,0.0672927065446581,2.635163836722029,True,True
51670,Hopewell city,72,Accommodation and Food Services,748.0,1972.0,0.3793103448275862,0.11121647217792784,3.4105590421961307,True,True
51678,Lexington city,81,Other Services,159.0,449.0,0.35412026726057905,0.04436895963131947,7.9812614540235955,True,True
51680,Lynchburg city,61,Educational Services,1707.0,41958.0,0.04068354068354069,0.020240329879222408,2.0100235977529266,True,True
51683,Manassas city,62,Health Care and Social Assistance,4544.0,15297.0,0.29705170948552,0.15625628606777636,1.9010544597013745,True,True
51685,Manassas Park city,23,Construction,1078.0,2344.0,0.4598976109215017,0.06470425061563047,7.107687772376506,True,True
51690,Martinsville city,56,Administrative and Support and Waste Management,891.0,4353.0,0.20468642315644384,0.06910888022477532,2.9617962625165557,True,True
51700,Newport News city,31-33,Manufacturing,27916.0,80710.0,0.3458803122289679,0.0672927065446581,5.139937594862944,True,True
51710,Norfolk city,22,Utilities,384.0,91732.0,0.004186107356211573,0.002142581206210252,1.953768353833301,True,True
51720,Norton city,62,Health Care and Social Assistance,891.0,2291.0,0.3889131383675251,0.15625628606777636,2.4889439532617175,True,True
51730,Petersburg city,62,Health Care and Social Assistance,3798.0,7814.0,0.4860506782697722,0.15625628606777636,3.110599198927249,True,True
51735,Poquoson city,81,Other Services,124.0,557.0,0.22262118491921004,0.04436895963131947,5.017498421623226,True,True
51740,Portsmouth city,71,"Arts, Entertainment, and Recreation",1365.0,22346.0,0.06108475789850532,0.022075563852834112,2.767075772366427,True,True
51750,Radford city,31-33,Manufacturing,784.0,2490.0,0.314859437751004,0.0672927065446581,4.678953395076342,True,True
51760,Richmond city,55,Management of Companies and Enterprises,9234.0,126087.0,0.07323514716029408,0.02744546118252103,2.668388287347664,True,True
51770,Roanoke city,55,Management of Companies and Enterprises,3364.0,51089.0,0.06584587680322575,0.02744546118252103,2.3991535928410808,True,True
51775,Salem city,42,Wholesale Trade,1956.0,15272.0,0.12807752750130957,0.02169027363433848,5.904836871147003,True,True
51790,Staunton city,61,Educational Services,564.0,8263.0,0.06825608132639477,0.020240329879222408,3.3722810711925524,True,True
51800,Suffolk city,48-49,Transportation and Warehousing,9944.0,35613.0,0.2792238789206189,0.05047574152199847,5.531843029961765,True,True
51810,Virginia Beach city,99,Unclassified,555.0,143239.0,0.0038746430790497,0.002188870490411141,1.7701563870605777,True,True
51820,Waynesboro city,48-49,Transportation and Warehousing,980.0,8484.0,0.11551155115511551,0.05047574152199847,2.288456745202504,True,True
51830,Williamsburg city,55,Management of Companies and Enterprises,453.0,2924.0,0.15492476060191518,0.02744546118252103,5.64482263830862,True,True
51840,Winchester city,61,Educational Services,1036.0,19165.0,0.05405687451082703,0.020240329879222408,2.6707506662882405,True,True
